id,title,companyId,description,minCgpa,requiredSkills,eligibleBranches,status,jobType,stipendAmount,ppoAmount,ctcAmount,createdAt,updatedAt
30010,GET - Aditya Birla Group,20003,"Aditya Birla Group is hiring for the GET role through the 2026 campus placement process. This posting is open to Electrical Engineering students with minimum CGPA 7.987. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.987,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Electrical Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30011,GET - Aditya Birla Group,20003,"Aditya Birla Group is hiring for the GET role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 7.6. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.6,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,750000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30012,FACULTY - Agarwal Classes,20004,"Agarwal Classes is hiring for the FACULTY role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 8.373. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.373,"{""Subject Knowledge"",""Teaching"",""Communication"",""Mentoring""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30013,Faculty Trainee - Allen,20005,"Allen is hiring for the Faculty Trainee role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 7.447. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.447,"{""Subject Knowledge"",""Teaching"",""Communication"",""Mentoring""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30014,Faculty Trainee - Allen,20005,"Allen is hiring for the Faculty Trainee role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 7.813. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.813,"{""Subject Knowledge"",""Teaching"",""Communication"",""Mentoring""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30015,Faculty Trainee - Allen,20005,"Allen is hiring for the Faculty Trainee role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 8.14. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.14,"{""Subject Knowledge"",""Teaching"",""Communication"",""Mentoring""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30016,Fculty Trainee - Allen,20005,"Allen is hiring for the Fculty Trainee role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 7.98. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.98,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30017,SDE - Apps for Bharat,20006,"Apps for Bharat is hiring for the SDE role through the 2026 campus placement process. This posting is open to Computer Science and Engineering students with minimum CGPA 7.947. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.947,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Computer Science and Engineering""}",OPEN,FTE_ONLY,,,1200000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30018,SDE - Apps for Bharat,20006,"Apps for Bharat is hiring for the SDE role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 8.673. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.673,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Information Technology""}",OPEN,FTE_ONLY,,,1200000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30019,Campus Hire - Atomone,20008,"Atomone is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Electrical Engineering students with minimum CGPA 0. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",0,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electrical Engineering""}",OPEN,FTE_ONLY,,,500000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30020,Campus Hire - Atomone,20008,"Atomone is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 0. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",0,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30021,BDA - Averix Solutions,20009,"Averix Solutions is hiring for the BDA role through the 2026 campus placement process. This posting is open to Metallurgical and Materials Engineering students with minimum CGPA 5.487. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",5.487,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Metallurgical and Materials Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30022,BDA - averixis,20010,"averixis is hiring for the BDA role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 0. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",0,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30023,Campus Hire - AWL,20011,"AWL is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Electrical Engineering students with minimum CGPA 6.033. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.033,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electrical Engineering""}",OPEN,FTE_ONLY,,,690000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30024,PE - BEL,20012,"BEL is hiring for the PE role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 7.293. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.293,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,1274000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30025,Probationary Engineer - BEL,20012,"BEL is hiring for the Probationary Engineer role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 6.78. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.78,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,1274000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30026,Probationary Engineer - BEL,20012,"BEL is hiring for the Probationary Engineer role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 8.067. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.067,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30027,Probationary Engineer - BEL,20012,"BEL is hiring for the Probationary Engineer role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 7.94. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.94,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30028,Probationary Engineer - BEL,20012,"BEL is hiring for the Probationary Engineer role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 7.76. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.76,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30029,frontend-FTE - BrowserStack,20013,"BrowserStack is hiring for the frontend-FTE role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 9.299. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",9.299,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Information Technology""}",OPEN,FTE_ONLY,,,1540000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30030,Frontend-FTE - BrowserStack,20013,"BrowserStack is hiring for the Frontend-FTE role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 9.061. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",9.061,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Information Technology""}",OPEN,FTE_ONLY,,,1560000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30031,Campus Hire - C-DAC,20014,"C-DAC is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 7.068. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.068,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Information Technology""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30032,Project Engineer - C-DAC,20014,"C-DAC is hiring for the Project Engineer role through the 2026 campus placement process. This posting is open to Computer Science and Engineering students with minimum CGPA 7.796. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.796,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Computer Science and Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30033,Project Engineer - C-Dac Chennai,20015,"C-Dac Chennai is hiring for the Project Engineer role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 6.873. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.873,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Electronics and Communication Engineering""}",OPEN,INTERN_PPO,,,589000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30034,BDA - Codeyoung,20016,"Codeyoung is hiring for the BDA role through the 2026 campus placement process. This posting is open to Electrical Engineering students with minimum CGPA 0. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",0,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Electrical Engineering""}",OPEN,FTE_ONLY,,,836000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30035,Campus Hire - CRIS,20017,"CRIS is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 7.67. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.67,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Information Technology""}",OPEN,FTE_ONLY,,,2000000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30036,SDE - CRIS,20017,"CRIS is hiring for the SDE role through the 2026 campus placement process. This posting is open to Computer Science and Engineering students with minimum CGPA 7.796. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.796,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Computer Science and Engineering""}",OPEN,FTE_ONLY,,,2000000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30037,Campus Hire - Darwix AI,20018,"Darwix AI is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 7.673. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.673,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electronics and Communication Engineering""}",OPEN,INTERN_ONLY,23000,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30038,Data Analyst - Delhivery,20019,"Delhivery is hiring for the Data Analyst role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 7.22. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.22,"{""Data Analysis"",""SQL"",""Problem Solving"",""Excel""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30039,Assistant Engineer - EASA SALEH,20020,"EASA SALEH is hiring for the Assistant Engineer role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 7.073. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.073,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,60000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30040,Campus Hire - EASA SALEH,20020,"EASA SALEH is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Electrical Engineering students with minimum CGPA 7.167. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.167,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electrical Engineering""}",OPEN,FTE_ONLY,,,1400000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30041,GET - EASA SALEH,20020,"EASA SALEH is hiring for the GET role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 8.3. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.3,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30042,GET - EASA SALEH,20020,"EASA SALEH is hiring for the GET role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 6.607. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.607,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,1400000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30043,BDA - Eduveda Academy,20021,"Eduveda Academy is hiring for the BDA role through the 2026 campus placement process. This posting is open to Electrical Engineering, Information Technology students with minimum CGPA 0. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",0,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Electrical Engineering"",""Information Technology""}",OPEN,FTE_ONLY,,,650000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30044,BDA - Eduveda Academy,20021,"Eduveda Academy is hiring for the BDA role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 0. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",0,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30045,BDA - Eduveda Academy,20021,"Eduveda Academy is hiring for the BDA role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 0. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",0,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Information Technology""}",OPEN,FTE_ONLY,,,650000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30046,Campus Hire - Eduveda Academy,20021,"Eduveda Academy is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 6.55. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.55,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30047,BDA - EduVersity,20022,"EduVersity is hiring for the BDA role through the 2026 campus placement process. This posting is open to Computer Science and Engineering, Electrical Engineering, Electronics and Communication Engineering, Information Technology, Metallurgical and Materials Engineering students with minimum CGPA 5.823. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",5.823,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Computer Science and Engineering"",""Electrical Engineering"",""Electronics and Communication Engineering"",""Information Technology"",""Metallurgical and Materials Engineering""}",OPEN,FTE_ONLY,,,800000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30048,SDE - ENTNT,20023,"ENTNT is hiring for the SDE role through the 2026 campus placement process. This posting is open to Computer Science and Engineering students with minimum CGPA 8.393. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.393,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Computer Science and Engineering""}",OPEN,FTE_ONLY,,,755,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30049,Campus Hire - EPACK Prefab,20024,"EPACK Prefab is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 7.687. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.687,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30050,GET - EPACK Prefab,20024,"EPACK Prefab is hiring for the GET role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 6.42. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.42,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,1000000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30051,GET - EPACK Prefab,20024,"EPACK Prefab is hiring for the GET role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 6.167. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.167,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,700000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30052,SDE - EPAM Systems,20025,"EPAM Systems is hiring for the SDE role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 8.4. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.4,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Information Technology""}",OPEN,FTE_ONLY,,,848000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30053,BDA - Gladify Edutech,20026,"Gladify Edutech is hiring for the BDA role through the 2026 campus placement process. This posting is open to Civil Engineering, Mechanical Engineering students with minimum CGPA 7.6. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.6,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Civil Engineering"",""Mechanical Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30054,BDA - Gladify Edutech,20026,"Gladify Edutech is hiring for the BDA role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 5.52. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",5.52,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30055,SDE - GlobalLogic,20027,"GlobalLogic is hiring for the SDE role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 8.592. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.592,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Information Technology""}",OPEN,FTE_ONLY,,,750000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30056,BDA - Grow Your Skills LLP,20028,"Grow Your Skills LLP is hiring for the BDA role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 6.34. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.34,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,570000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30057,Campus Hire - Grow Your Skills LLP,20028,"Grow Your Skills LLP is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Metallurgical and Materials Engineering students with minimum CGPA 0. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",0,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Metallurgical and Materials Engineering""}",OPEN,FTE_ONLY,,,570000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30058,Campus Hire - HCL Tech,20029,"HCL Tech is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 8.095. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",8.095,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Information Technology""}",OPEN,FTE_ONLY,,,1200000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30059,Campus Hire - HCL Tech,20029,"HCL Tech is hiring for the Campus Hire role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 9.034. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",9.034,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Information Technology""}",OPEN,FTE_ONLY,,,1200000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30060,SDE - HCL Tech,20029,"HCL Tech is hiring for the SDE role through the 2026 campus placement process. This posting is open to Computer Science and Engineering students with minimum CGPA 7.033. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.033,"{""Programming"",""Data Structures"",""Problem Solving"",""Software Engineering""}","{""Computer Science and Engineering""}",OPEN,FTE_ONLY,,,1200000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30061,GeT - Hero Steels,20030,"Hero Steels is hiring for the GeT role through the 2026 campus placement process. This posting is open to Metallurgical and Materials Engineering students with minimum CGPA 7.373. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.373,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Metallurgical and Materials Engineering""}",OPEN,FTE_ONLY,,,700000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30062,GET - Hero Steels,20030,"Hero Steels is hiring for the GET role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 6.893. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.893,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
